Country Name,Country Code,Series Name,Series Code,2022 [YR2022],,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Tree Cover Loss (hectares),AG.LND.FRLS.HA,..,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.808,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Unmet need for contraception (% of married women ages 15-49),SP.UWT.TFRT,..,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Voice and Accountability: Estimate,VA.EST,0.13946570456028,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Agricultural land (% of land area),AG.LND.AGRI.ZS,..,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,11.384083968233,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,..,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS,..,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,"Children in employment, total (% of children ages 7-14)",SL.TLF.0714.ZS,..,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Coastal protection,EN.CLC.CSTP.ZS,..,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Control of Corruption: Estimate,CC.EST,-0.637929856777191,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Cooling Degree Days,EN.CLC.CDDY.XD,..,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Economic and Social Rights Performance Score,SD.ESR.PERF.XQ,..,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,..,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,..,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,..,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,..,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,..,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Forest area (% of land area),AG.LND.FRST.ZS,..,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.09999999986282,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),EN.CLC.GHGR.MT.CE,..,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Gini index,SI.POV.GINI,..,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Government Effectiveness: Estimate,GE.EST,-0.513090252876282,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,15.3546171188354,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Heat Index 35,EN.CLC.HEAT.XD,..,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,DZA,Heating Degree Days,EN.CLC.HDDY.XD,..,,,,,,,,,,,,,,,,,,,,,,,,
